CustomerID,PersonID,StoreID,TerritoryID,AccountNumber,rowguid,ModifiedDate
20198,9299,NULL,4,AW00020198,A64FC531-E517-4AAF-9162-8BDC5D134E27,15:07.3
20199,3153,NULL,4,AW00020199,F0E1A9DC-3275-4136-A032-016AB8D45171,15:07.3
20200,6112,NULL,1,AW00020200,9626559C-4D12-4745-9118-FA9FA23C512B,15:07.3
20201,11004,NULL,4,AW00020201,A0EFCC16-A0BC-4648-8E48-77FE3004C727,15:07.3
20202,10702,NULL,6,AW00020202,10A49912-7D31-42DD-9B2D-AEAA3A257B82,15:07.3
20203,11172,NULL,1,AW00020203,A1B9C6FC-6075-4689-848A-B940AD6940DF,15:07.3
20204,15025,NULL,4,AW00020204,6B511B05-93B5-42E6-94C6-E36C7D3DA38D,15:07.3
20205,14786,NULL,1,AW00020205,AD3179DC-4E07-46B3-85EC-7C4223CA0265,15:07.3
20206,19306,NULL,6,AW00020206,808C2F27-5F0A-448E-A0BC-88F64FB21A3F,15:07.3
20207,15132,NULL,4,AW00020207,75397E0E-8A8B-4331-B3EA-6B8ED7540022,15:07.3
20208,6271,NULL,6,AW00020208,9E6FD16C-9D34-46CE-885E-9F73D13CFCC5,15:07.3
20209,9633,NULL,6,AW00020209,0E1C2CB9-28F6-4CA5-A803-54BF72155C0C,15:07.3
20210,3118,NULL,1,AW00020210,44E4D7B5-C215-4B54-B449-D287CC2FB30E,15:07.3
20211,1703,NULL,9,AW00020211,1A02E88C-CBBF-4A6F-9A0B-89FB99E57B0D,15:07.3
20212,14219,NULL,9,AW00020212,7DD48D32-D1F9-484E-A24C-3EEFE38705EF,15:07.3
20213,15060,NULL,9,AW00020213,377EE590-64F9-4E7F-875C-C590CD902F12,15:07.3
20214,5962,NULL,9,AW00020214,CD0C466F-2474-4186-A798-5791865B1E7E,15:07.3
20215,16151,NULL,9,AW00020215,33A7CE76-FB0C-461E-90FC-ED13A64D3A84,15:07.3
20216,20391,NULL,9,AW00020216,42AD5869-B855-4D22-94BC-A775F702148E,15:07.3
20217,17483,NULL,9,AW00020217,C9A1A104-9731-4871-A0FB-50285F5A0445,15:07.3
20218,9203,NULL,9,AW00020218,AEBAFA7A-54C9-4DE5-BBDA-769B8338CB68,15:07.3
20219,12290,NULL,9,AW00020219,438BF41B-B278-4F90-97EC-B5B433F85535,15:07.3
20220,13960,NULL,9,AW00020220,1E289EB0-FF6C-4D8C-8826-239DC30F0BE1,15:07.3
